token,tag
except,O
for,O
20,B_quantity
heat,B_mep_obj
exchanger,I_mep_obj
instances,O
except for 20 heat exchanger instances,sentence
exclude,O
8,B_quantity
burners,B_mep_obj
elements,O
exclude 8 burners elements,sentence
blank,O
out,O
6,B_quantity
coolers,B_mep_obj
blank out 6 coolers,sentence
discard,O
57,B_quantity
humidifier,B_mep_obj
objects,O
discard 57 humidifier objects,sentence
except,O
for,O
53,B_quantity
motor,B_mep_obj
connection,I_mep_obj
except for 53 motor connection,sentence
deselect,O
100,B_quantity
humidifiers,B_mep_obj
deselect 100 humidifiers,sentence
except,O
for,O
water,B_mep_obj
boiler,I_mep_obj
except for water boiler,sentence
deselect,O
12,B_quantity
chiller,B_mep_obj
items,O
deselect 12 chiller items,sentence
deselect,O
53,B_quantity
burner,B_mep_obj
elements,O
deselect 53 burner elements,sentence
mask,O
57,B_quantity
transformers,B_mep_obj
mask 57 transformers,sentence
except,O
for,O
burner,B_mep_obj
objects,O
except for burner objects,sentence
omit,O
35,B_quantity
boilers,B_mep_obj
elements,O
omit 35 boilers elements,sentence
ignore,O
13,B_quantity
boiler,B_mep_obj
ignore 13 boiler,sentence
ignore,O
all,B_quantity
tube,B_mep_obj
bundle,I_mep_obj
ignore all tube bundle,sentence
mask,O
13,B_quantity
air,B_mep_obj
to,I_mep_obj
air,I_mep_obj
heat,I_mep_obj
recovery,I_mep_obj
elements,O
mask 13 air to air heat recovery elements,sentence
exclude,O
fifteen,B_quantity
boiler,B_mep_obj
exclude fifteen boiler,sentence
omit,O
seven,B_quantity
solar,B_mep_obj
device,I_mep_obj
omit seven solar device,sentence
hide,O
for,O
me,O
each,B_quantity
tube,B_mep_obj
bundle,I_mep_obj
hide for me each tube bundle,sentence
blank,O
out,O
2,B_quantity
motors,B_mep_obj
blank out 2 motors,sentence
exclude,O
7,B_quantity
cooled,B_mep_obj
beam,I_mep_obj
exclude 7 cooled beam,sentence
omit,O
thirteen,B_quantity
instances,O
of,O
tube,B_mep_obj
bundle,I_mep_obj
omit thirteen instances of tube bundle,sentence
blank,O
out,O
heat,B_mep_obj
exchanger,I_mep_obj
blank out heat exchanger,sentence
blank,O
out,O
four,B_quantity
generators,B_mep_obj
blank out four generators,sentence
deselect,O
13,B_quantity
boiler,B_mep_obj
deselect 13 boiler,sentence
hide,O
for,O
me,O
three,B_quantity
objects,O
of,O
transformers,B_mep_obj
hide for me three objects of transformers,sentence
exclude,O
each,B_quantity
generator,B_mep_obj
exclude each generator,sentence
omit,O
objects,O
of,O
heat,B_mep_obj
exchangers,I_mep_obj
omit objects of heat exchangers,sentence
ignore,O
four,B_quantity
items,O
of,O
cooling,B_mep_obj
tower,I_mep_obj
ignore four items of cooling tower,sentence
except,O
for,O
9,B_quantity
examples,O
of,O
exchanger,B_mep_obj
except for 9 examples of exchanger,sentence
exclude,O
100,B_quantity
boiler,B_mep_obj
exclude 100 boiler,sentence
mask,O
elements,O
of,O
cooling,B_mep_obj
towers,I_mep_obj
mask elements of cooling towers,sentence
exclude,O
11,B_quantity
elements,O
of,O
cooling,B_mep_obj
towers,I_mep_obj
exclude 11 elements of cooling towers,sentence
blank,O
out,O
five,B_quantity
engine,B_mep_obj
blank out five engine,sentence
mask,O
two,B_quantity
elements,O
of,O
condenser,B_mep_obj
mask two elements of condenser,sentence
ignore,O
motors,B_mep_obj
ignore motors,sentence
mask,O
every,B_quantity
elements,O
of,O
boilers,B_mep_obj
mask every elements of boilers,sentence
blank,O
out,O
7,B_quantity
items,O
of,O
burners,B_mep_obj
blank out 7 items of burners,sentence
ignore,O
thirteen,B_quantity
items,O
of,O
engine,B_mep_obj
ignore thirteen items of engine,sentence
blank,O
out,O
each,B_quantity
electric,B_mep_obj
generators,I_mep_obj
blank out each electric generators,sentence
except,O
for,O
40,B_quantity
evaporator,B_mep_obj
except for 40 evaporator,sentence
ignore,O
74,B_quantity
evaporative,B_mep_obj
cooler,I_mep_obj
ignore 74 evaporative cooler,sentence
except,O
for,O
12,B_quantity
elements,O
of,O
solar,B_mep_obj
devices,I_mep_obj
except for 12 elements of solar devices,sentence
blank,O
out,O
35,B_quantity
engine,B_mep_obj
blank out 35 engine,sentence
deselect,O
all,B_quantity
items,O
of,O
power,B_mep_obj
generator,I_mep_obj
deselect all items of power generator,sentence
ignore,O
10,B_quantity
electric,B_mep_obj
motor,I_mep_obj
ignore 10 electric motor,sentence
blank,O
out,O
7,B_quantity
heat,B_mep_obj
exchanger,I_mep_obj
blank out 7 heat exchanger,sentence
hide,O
for,O
me,O
11,B_quantity
instances,O
of,O
electric,B_mep_obj
generator,I_mep_obj
hide for me 11 instances of electric generator,sentence
deselect,O
12,B_quantity
boilers,B_mep_obj
deselect 12 boilers,sentence
hide,O
for,O
me,O
five,B_quantity
items,O
of,O
heat,B_mep_obj
exchanger,I_mep_obj
hide for me five items of heat exchanger,sentence
ignore,O
six,B_quantity
instances,O
of,O
exchanger,B_mep_obj
ignore six instances of exchanger,sentence
blank,O
out,O
cooling,B_mep_obj
tower,I_mep_obj
blank out cooling tower,sentence
hide,O
eleven,B_quantity
objects,O
of,O
coils,B_mep_obj
hide eleven objects of coils,sentence
hide,O
for,O
me,O
35,B_quantity
engines,B_mep_obj
hide for me 35 engines,sentence
mask,O
30,B_quantity
electric,B_mep_obj
generators,I_mep_obj
mask 30 electric generators,sentence
except,O
for,O
9,B_quantity
elements,O
of,O
power,B_mep_obj
generator,I_mep_obj
except for 9 elements of power generator,sentence
deselect,O
2,B_quantity
solar,B_mep_obj
device,I_mep_obj
deselect 2 solar device,sentence
hide,O
for,O
me,O
six,B_quantity
elements,O
of,O
electric,B_mep_obj
generators,I_mep_obj
hide for me six elements of electric generators,sentence
discard,O
50,B_quantity
transformer,B_mep_obj
discard 50 transformer,sentence
ignore,O
100,B_quantity
evaporators,B_mep_obj
ignore 100 evaporators,sentence
blank,O
out,O
13,B_quantity
instances,O
of,O
electric,B_mep_obj
motors,I_mep_obj
blank out 13 instances of electric motors,sentence
hide,O
50,B_quantity
elements,O
of,O
engine,B_mep_obj
hide 50 elements of engine,sentence
exclude,O
61,B_quantity
tube,B_mep_obj
bundle,I_mep_obj
exclude 61 tube bundle,sentence
hide,O
for,O
me,O
every,B_quantity
examples,O
of,O
motor,B_mep_obj
connections,I_mep_obj
hide for me every examples of motor connections,sentence
exclude,O
twelve,B_quantity
transformers,B_mep_obj
exclude twelve transformers,sentence
blank,O
out,O
12,B_quantity
examples,O
of,O
exchangers,B_mep_obj
blank out 12 examples of exchangers,sentence
except,O
for,O
all,B_quantity
engine,B_mep_obj
except for all engine,sentence
deselect,O
nine,B_quantity
elements,O
of,O
exchangers,B_mep_obj
deselect nine elements of exchangers,sentence
exclude,O
eleven,B_quantity
electric,B_mep_obj
generator,I_mep_obj
exclude eleven electric generator,sentence
hide,O
for,O
me,O
fifteen,B_quantity
tube,B_mep_obj
bundle,I_mep_obj
hide for me fifteen tube bundle,sentence
except,O
for,O
8,B_quantity
items,O
of,O
condenser,B_mep_obj
except for 8 items of condenser,sentence
ignore,O
fourteen,B_quantity
tube,B_mep_obj
bundle,I_mep_obj
ignore fourteen tube bundle,sentence
except,O
for,O
6,B_quantity
examples,O
of,O
condensers,B_mep_obj
except for 6 examples of condensers,sentence
blank,O
out,O
six,B_quantity
elements,O
of,O
generators,B_mep_obj
blank out six elements of generators,sentence
mask,O
3,B_quantity
tube,B_mep_obj
bundles,I_mep_obj
mask 3 tube bundles,sentence
exclude,O
all,B_quantity
instances,O
of,O
coils,B_mep_obj
exclude all instances of coils,sentence
ignore,O
30,B_quantity
items,O
of,O
burner,B_mep_obj
ignore 30 items of burner,sentence
deselect,O
one,B_quantity
examples,O
of,O
power,B_mep_obj
generator,I_mep_obj
deselect one examples of power generator,sentence
hide,O
20,B_quantity
instances,O
of,O
evaporative,B_mep_obj
cooler,I_mep_obj
hide 20 instances of evaporative cooler,sentence
deselect,O
every,B_quantity
items,O
of,O
water,B_mep_obj
boilers,I_mep_obj
deselect every items of water boilers,sentence
omit,O
11,B_quantity
solar,B_mep_obj
devices,I_mep_obj
omit 11 solar devices,sentence
discard,O
each,B_quantity
filter,B_mep_obj
objects,O
discard each filter objects,sentence
omit,O
10,B_quantity
interceptor,B_mep_obj
omit 10 interceptor,sentence
omit,O
switch,B_mep_obj
elements,O
omit switch elements,sentence
exclude,O
seven,B_quantity
electric,B_mep_obj
appliances,I_mep_obj
exclude seven electric appliances,sentence
mask,O
fifteen,B_quantity
heaters,B_mep_obj
items,O
mask fifteen heaters items,sentence
blank,O
out,O
9,B_quantity
fitting,B_mep_obj
items,O
blank out 9 fitting items,sentence
hide,O
five,B_quantity
switch,B_mep_obj
hide five switch,sentence
except,O
for,O
nine,B_quantity
compressors,B_mep_obj
except for nine compressors,sentence
deselect,O
flow,B_mep_obj
meter,I_mep_obj
items,O
deselect flow meter items,sentence
hide,O
for,O
me,O
each,B_quantity
suppression,B_mep_obj
terminal,I_mep_obj
hide for me each suppression terminal,sentence
ignore,O
50,B_quantity
compressor,B_mep_obj
elements,O
ignore 50 compressor elements,sentence
blank,O
out,O
seven,B_quantity
electric,B_mep_obj
appliance,I_mep_obj
instances,O
blank out seven electric appliance instances,sentence
hide,O
74,B_quantity
cable,B_mep_obj
segment,I_mep_obj
hide 74 cable segment,sentence
exclude,O
13,B_quantity
sensor,B_mep_obj
items,O
exclude 13 sensor items,sentence
ignore,O
57,B_quantity
controller,B_mep_obj
ignore 57 controller,sentence
except,O
for,O
seven,B_quantity
air,B_mep_obj
terminal,I_mep_obj
box,I_mep_obj
objects,O
except for seven air terminal box objects,sentence
deselect,O
3,B_quantity
interceptor,B_mep_obj
deselect 3 interceptor,sentence
hide,O
30,B_quantity
fire,B_mep_obj
terminal,I_mep_obj
objects,O
hide 30 fire terminal objects,sentence
blank,O
out,O
fixtures,B_mep_obj
blank out fixtures,sentence
discard,O
15,B_quantity
switching,B_mep_obj
device,I_mep_obj
elements,O
discard 15 switching device elements,sentence
omit,O
50,B_quantity
control,B_mep_obj
element,I_mep_obj
instances,O
omit 50 control element instances,sentence
blank,O
out,O
junction,B_mep_obj
box,I_mep_obj
instances,O
blank out junction box instances,sentence
omit,O
25,B_quantity
interceptor,B_mep_obj
instances,O
omit 25 interceptor instances,sentence
blank,O
out,O
45,B_quantity
interceptor,B_mep_obj
blank out 45 interceptor,sentence
deselect,O
control,B_mep_obj
element,I_mep_obj
elements,O
deselect control element elements,sentence
mask,O
4,B_quantity
lights,B_mep_obj
mask 4 lights,sentence
hide,O
eleven,B_quantity
boards,B_mep_obj
elements,O
hide eleven boards elements,sentence
blank,O
out,O
fire,B_mep_obj
terminal,I_mep_obj
items,O
blank out fire terminal items,sentence
blank,O
out,O
five,B_quantity
switching,B_mep_obj
device,I_mep_obj
objects,O
blank out five switching device objects,sentence
blank,O
out,O
fourteen,B_quantity
flow,B_mep_obj
storage,I_mep_obj
elements,O
blank out fourteen flow storage elements,sentence
mask,O
6,B_quantity
duct,B_mep_obj
silencer,I_mep_obj
items,O
mask 6 duct silencer items,sentence
mask,O
every,B_quantity
electric,B_mep_obj
appliances,I_mep_obj
instances,O
mask every electric appliances instances,sentence
except,O
for,O
tanks,B_mep_obj
except for tanks,sentence
discard,O
25,B_quantity
duct,B_mep_obj
segment,I_mep_obj
discard 25 duct segment,sentence
ignore,O
100,B_quantity
segment,B_mep_obj
ignore 100 segment,sentence
discard,O
ten,B_quantity
switch,B_mep_obj
objects,O
discard ten switch objects,sentence
omit,O
14,B_quantity
fan,B_mep_obj
omit 14 fan,sentence
blank,O
out,O
12,B_quantity
damper,B_mep_obj
blank out 12 damper,sentence
deselect,O
sensors,B_mep_obj
instances,O
deselect sensors instances,sentence
ignore,O
35,B_quantity
room,B_mep_obj
heater,I_mep_obj
instances,O
ignore 35 room heater instances,sentence
mask,O
3,B_quantity
flow,B_mep_obj
instrument,I_mep_obj
items,O
mask 3 flow instrument items,sentence
hide,O
fourteen,B_quantity
valve,B_mep_obj
objects,O
hide fourteen valve objects,sentence
omit,O
four,B_quantity
electric,B_mep_obj
appliances,I_mep_obj
omit four electric appliances,sentence
hide,O
for,O
me,O
5,B_quantity
heater,B_mep_obj
hide for me 5 heater,sentence
blank,O
out,O
9,B_quantity
actuators,B_mep_obj
instances,O
blank out 9 actuators instances,sentence
ignore,O
10,B_quantity
space,B_mep_obj
heater,I_mep_obj
ignore 10 space heater,sentence
blank,O
out,O
50,B_quantity
controllers,B_mep_obj
blank out 50 controllers,sentence
mask,O
outlet,B_mep_obj
mask outlet,sentence
deselect,O
13,B_quantity
sensors,B_mep_obj
deselect 13 sensors,sentence
discard,O
six,B_quantity
damper,B_mep_obj
discard six damper,sentence
omit,O
fourteen,B_quantity
outlets,B_mep_obj
omit fourteen outlets,sentence
discard,O
each,B_quantity
heaters,B_mep_obj
instances,O
discard each heaters instances,sentence
discard,O
12,B_quantity
tanks,B_mep_obj
discard 12 tanks,sentence
hide,O
for,O
me,O
two,B_quantity
segment,B_mep_obj
instances,O
hide for me two segment instances,sentence
discard,O
35,B_quantity
controllers,B_mep_obj
instances,O
discard 35 controllers instances,sentence
blank,O
out,O
eight,B_quantity
filters,B_mep_obj
blank out eight filters,sentence
exclude,O
pipe,B_mep_obj
fitting,I_mep_obj
exclude pipe fitting,sentence
discard,O
all,B_quantity
flow,B_mep_obj
meter,I_mep_obj
objects,O
discard all flow meter objects,sentence
hide,O
for,O
me,O
eight,B_quantity
pump,B_mep_obj
objects,O
hide for me eight pump objects,sentence
discard,O
7,B_quantity
suppression,B_mep_obj
terminal,I_mep_obj
discard 7 suppression terminal,sentence
ignore,O
two,B_quantity
lamp,B_mep_obj
ignore two lamp,sentence
hide,O
duct,B_mep_obj
fitting,I_mep_obj
hide duct fitting,sentence
blank,O
out,O
each,B_quantity
room,B_mep_obj
heater,I_mep_obj
blank out each room heater,sentence
mask,O
every,B_quantity
outlets,B_mep_obj
mask every outlets,sentence
blank,O
out,O
6,B_quantity
electric,B_mep_obj
distribution,I_mep_obj
board,I_mep_obj
blank out 6 electric distribution board,sentence
ignore,O
each,B_quantity
electric,B_mep_obj
appliances,I_mep_obj
items,O
ignore each electric appliances items,sentence
discard,O
14,B_quantity
alarm,B_mep_obj
items,O
discard 14 alarm items,sentence
discard,O
9,B_quantity
actuators,B_mep_obj
discard 9 actuators,sentence
ignore,O
7,B_quantity
fan,B_mep_obj
ignore 7 fan,sentence
hide,O
8,B_quantity
sanitary,B_mep_obj
terminal,I_mep_obj
objects,O
hide 8 sanitary terminal objects,sentence
discard,O
all,B_quantity
compressor,B_mep_obj
discard all compressor,sentence
deselect,O
all,B_quantity
alarm,B_mep_obj
deselect all alarm,sentence
deselect,O
2,B_quantity
light,B_mep_obj
fixture,I_mep_obj
deselect 2 light fixture,sentence
except,O
for,O
40,B_quantity
fire,B_mep_obj
terminal,I_mep_obj
except for 40 fire terminal,sentence
hide,O
61,B_quantity
cable,B_mep_obj
segment,I_mep_obj
hide 61 cable segment,sentence
blank,O
out,O
100,B_quantity
electric,B_mep_obj
distribution,I_mep_obj
board,I_mep_obj
blank out 100 electric distribution board,sentence
hide,O
for,O
me,O
13,B_quantity
fittings,B_mep_obj
hide for me 13 fittings,sentence
ignore,O
2,B_quantity
controller,B_mep_obj
elements,O
ignore 2 controller elements,sentence
omit,O
100,B_quantity
fitting,B_mep_obj
omit 100 fitting,sentence
hide,O
for,O
me,O
20,B_quantity
flow,B_mep_obj
storage,I_mep_obj
hide for me 20 flow storage,sentence
except,O
for,O
13,B_quantity
electric,B_mep_obj
distribution,I_mep_obj
board,I_mep_obj
except for 13 electric distribution board,sentence
exclude,O
all,B_quantity
cable,B_mep_obj
carrier,I_mep_obj
fitting,I_mep_obj
exclude all cable carrier fitting,sentence
except,O
for,O
every,B_quantity
objects,O
of,O
electrical,B_mep_obj
outlet,I_mep_obj
except for every objects of electrical outlet,sentence
ignore,O
3,B_quantity
items,O
of,O
duct,B_mep_obj
silencer,I_mep_obj
ignore 3 items of duct silencer,sentence
ignore,O
20,B_quantity
instances,O
of,O
stack,B_mep_obj
terminal,I_mep_obj
ignore 20 instances of stack terminal,sentence
blank,O
out,O
air,B_mep_obj
terminal,I_mep_obj
blank out air terminal,sentence
hide,O
for,O
me,O
10,B_quantity
objects,O
of,O
segment,B_mep_obj
hide for me 10 objects of segment,sentence
ignore,O
elements,O
of,O
sensors,B_mep_obj
ignore elements of sensors,sentence
mask,O
one,B_quantity
elements,O
of,O
controller,B_mep_obj
mask one elements of controller,sentence
omit,O
15,B_quantity
instances,O
of,O
controllers,B_mep_obj
omit 15 instances of controllers,sentence
mask,O
1,B_quantity
items,O
of,O
electric,B_mep_obj
outlet,I_mep_obj
mask 1 items of electric outlet,sentence
mask,O
eight,B_quantity
items,O
of,O
outlets,B_mep_obj
mask eight items of outlets,sentence
omit,O
6,B_quantity
objects,O
of,O
electric,B_mep_obj
distribution,I_mep_obj
board,I_mep_obj
omit 6 objects of electric distribution board,sentence
ignore,O
two,B_quantity
outlets,B_mep_obj
ignore two outlets,sentence
deselect,O
4,B_quantity
light,B_mep_obj
deselect 4 light,sentence
hide,O
for,O
me,O
2,B_quantity
instances,O
of,O
actuator,B_mep_obj
hide for me 2 instances of actuator,sentence
hide,O
twelve,B_quantity
controller,B_mep_obj
hide twelve controller,sentence
deselect,O
4,B_quantity
instances,O
of,O
compressor,B_mep_obj
deselect 4 instances of compressor,sentence
omit,O
all,B_quantity
elements,O
of,O
actuator,B_mep_obj
omit all elements of actuator,sentence
except,O
for,O
nine,B_quantity
pipe,B_mep_obj
segment,I_mep_obj
except for nine pipe segment,sentence
ignore,O
12,B_quantity
actuators,B_mep_obj
ignore 12 actuators,sentence
hide,O
for,O
me,O
thirteen,B_quantity
outlet,B_mep_obj
hide for me thirteen outlet,sentence
omit,O
cable,B_mep_obj
fitting,I_mep_obj
omit cable fitting,sentence
hide,O
100,B_quantity
elements,O
of,O
unitary,B_mep_obj
control,I_mep_obj
element,I_mep_obj
hide 100 elements of unitary control element,sentence
hide,O
50,B_quantity
objects,O
of,O
tank,B_mep_obj
hide 50 objects of tank,sentence
deselect,O
100,B_quantity
air,B_mep_obj
terminal,I_mep_obj
deselect 100 air terminal,sentence
mask,O
1,B_quantity
instances,O
of,O
air,B_mep_obj
terminal,I_mep_obj
mask 1 instances of air terminal,sentence
except,O
for,O
each,B_quantity
examples,O
of,O
pipe,B_mep_obj
segment,I_mep_obj
except for each examples of pipe segment,sentence
exclude,O
eleven,B_quantity
compressor,B_mep_obj
exclude eleven compressor,sentence
hide,O
for,O
me,O
all,B_quantity
instances,O
of,O
fittings,B_mep_obj
hide for me all instances of fittings,sentence
blank,O
out,O
61,B_quantity
elements,O
of,O
lights,B_mep_obj
blank out 61 elements of lights,sentence
hide,O
for,O
me,O
100,B_quantity
instances,O
of,O
electric,B_mep_obj
board,I_mep_obj
hide for me 100 instances of electric board,sentence
hide,O
6,B_quantity
light,B_mep_obj
hide 6 light,sentence
hide,O
every,B_quantity
items,O
of,O
air,B_mep_obj
terminal,I_mep_obj
hide every items of air terminal,sentence
ignore,O
74,B_quantity
examples,O
of,O
control,B_mep_obj
element,I_mep_obj
ignore 74 examples of control element,sentence
hide,O
for,O
me,O
each,B_quantity
items,O
of,O
electric,B_mep_obj
time,I_mep_obj
controller,I_mep_obj
hide for me each items of electric time controller,sentence
hide,O
for,O
me,O
25,B_quantity
cable,B_mep_obj
carrier,I_mep_obj
segment,I_mep_obj
hide for me 25 cable carrier segment,sentence
hide,O
53,B_quantity
appliances,B_mep_obj
hide 53 appliances,sentence
discard,O
3,B_quantity
objects,O
of,O
electric,B_mep_obj
flow,I_mep_obj
storage,I_mep_obj
discard 3 objects of electric flow storage,sentence
ignore,O
four,B_quantity
examples,O
of,O
switch,B_mep_obj
ignore four examples of switch,sentence
ignore,O
ten,B_quantity
instances,O
of,O
terminal,B_mep_obj
boxes,I_mep_obj
ignore ten instances of terminal boxes,sentence
exclude,O
one,B_quantity
elements,O
of,O
lights,B_mep_obj
exclude one elements of lights,sentence
hide,O
every,B_quantity
elements,O
of,O
alarms,B_mep_obj
hide every elements of alarms,sentence
deselect,O
all,B_quantity
items,O
of,O
pipe,B_mep_obj
segment,I_mep_obj
deselect all items of pipe segment,sentence
exclude,O
53,B_quantity
items,O
of,O
valve,B_mep_obj
exclude 53 items of valve,sentence
blank,O
out,O
8,B_quantity
instances,O
of,O
air,B_mep_obj
terminal,I_mep_obj
boxes,I_mep_obj
blank out 8 instances of air terminal boxes,sentence
mask,O
air,B_mep_obj
terminal,I_mep_obj
box,I_mep_obj
mask air terminal box,sentence
deselect,O
9,B_quantity
lamp,B_mep_obj
deselect 9 lamp,sentence
exclude,O
electric,B_mep_obj
distribution,I_mep_obj
board,I_mep_obj
exclude electric distribution board,sentence
hide,O
7,B_quantity
elements,O
of,O
duct,B_mep_obj
fitting,I_mep_obj
hide 7 elements of duct fitting,sentence
omit,O
20,B_quantity
silencer,B_mep_obj
omit 20 silencer,sentence
ignore,O
nine,B_quantity
interceptor,B_mep_obj
ignore nine interceptor,sentence
hide,O
for,O
me,O
fourteen,B_quantity
examples,O
of,O
terminal,B_mep_obj
boxes,I_mep_obj
hide for me fourteen examples of terminal boxes,sentence
exclude,O
five,B_quantity
compressor,B_mep_obj
exclude five compressor,sentence
hide,O
for,O
me,O
7,B_quantity
objects,O
of,O
alarms,B_mep_obj
hide for me 7 objects of alarms,sentence
mask,O
all,B_quantity
air,B_mep_obj
terminal,I_mep_obj
mask all air terminal,sentence
exclude,O
all,B_quantity
pipe,B_mep_obj
segment,I_mep_obj
exclude all pipe segment,sentence
blank,O
out,O
25,B_quantity
appliances,B_mep_obj
blank out 25 appliances,sentence
hide,O
61,B_quantity
elements,O
of,O
space,B_mep_obj
heater,I_mep_obj
hide 61 elements of space heater,sentence
blank,O
out,O
all,B_quantity
instances,O
of,O
duct,B_mep_obj
fitting,I_mep_obj
blank out all instances of duct fitting,sentence
mask,O
nine,B_quantity
lamps,B_mep_obj
mask nine lamps,sentence
deselect,O
11,B_quantity
heaters,B_mep_obj
deselect 11 heaters,sentence
blank,O
out,O
each,B_quantity
flow,B_mep_obj
meter,I_mep_obj
blank out each flow meter,sentence
mask,O
57,B_quantity
light,B_mep_obj
fixture,I_mep_obj
mask 57 light fixture,sentence
mask,O
every,B_quantity
elements,O
of,O
electrical,B_mep_obj
outlet,I_mep_obj
mask every elements of electrical outlet,sentence
exclude,O
40,B_quantity
examples,O
of,O
alarms,B_mep_obj
exclude 40 examples of alarms,sentence
blank,O
out,O
all,B_quantity
filter,B_mep_obj
blank out all filter,sentence
deselect,O
74,B_quantity
heater,B_mep_obj
deselect 74 heater,sentence
exclude,O
25,B_quantity
electric,B_mep_obj
flow,I_mep_obj
storage,I_mep_obj
exclude 25 electric flow storage,sentence
ignore,O
50,B_quantity
elements,O
of,O
heater,B_mep_obj
ignore 50 elements of heater,sentence
discard,O
thirteen,B_quantity
items,O
of,O
suppression,B_mep_obj
terminal,I_mep_obj
discard thirteen items of suppression terminal,sentence
ignore,O
fourteen,B_quantity
switch,B_mep_obj
ignore fourteen switch,sentence
blank,O
out,O
20,B_quantity
objects,O
of,O
electric,B_mep_obj
outlet,I_mep_obj
blank out 20 objects of electric outlet,sentence
discard,O
eleven,B_quantity
examples,O
of,O
electric,B_mep_obj
flow,I_mep_obj
storage,I_mep_obj
discard eleven examples of electric flow storage,sentence
deselect,O
pipe,B_mep_obj
segment,I_mep_obj
deselect pipe segment,sentence
deselect,O
11,B_quantity
suppression,B_mep_obj
terminal,I_mep_obj
deselect 11 suppression terminal,sentence
mask,O
30,B_quantity
instances,O
of,O
electric,B_mep_obj
board,I_mep_obj
mask 30 instances of electric board,sentence
blank,O
out,O
9,B_quantity
space,B_mep_obj
heater,I_mep_obj
blank out 9 space heater,sentence
blank,O
out,O
25,B_quantity
pump,B_mep_obj
blank out 25 pump,sentence
omit,O
nine,B_quantity
pipe,B_mep_obj
segment,I_mep_obj
omit nine pipe segment,sentence
overall,O
how,O
many,O
covering,B_built_obj
of,O
the,O
building,O
that,O
exist,O
there,O
overall how many covering of the building that exist there,sentence
tell,O
me,O
how,O
many,O
stair,B_built_obj
railings,I_built_obj
of,O
the,O
building,O
are,O
there,O
tell me how many stair railings of the building are there,sentence
how,O
many,O
beams,B_built_obj
of,O
the,O
building,O
are,O
modeled,O
?,O
how many beams of the building are modeled ?,sentence
in,O
total,O
",",O
overall,O
how,O
many,O
members,B_built_obj
are,O
modeled,O
?,O
"in total , overall how many members are modeled ?",sentence
",",O
overall,O
how,O
many,O
shading,B_built_obj
element,I_built_obj
instances,O
exist,O
", overall how many shading element instances exist",sentence
tell,O
me,O
how,O
many,O
plate,B_built_obj
of,O
the,O
model,O
that,O
exist,O
there,O
tell me how many plate of the model that exist there,sentence
in,O
this,O
model,O
overall,O
how,O
many,O
curtain,B_built_obj
walls,I_built_obj
objects,O
of,O
the,O
building,O
are,O
available,O
in this model overall how many curtain walls objects of the building are available,sentence
in,O
this,O
model,O
how,O
many,O
doors,B_built_obj
of,O
the,O
model,O
that,O
exist,O
there,O
?,O
in this model how many doors of the model that exist there ?,sentence
how,O
many,O
plates,B_built_obj
objects,O
of,O
the,O
building,O
are,O
there,O
how many plates objects of the building are there,sentence
overall,O
how,O
many,O
roof,B_built_obj
are,O
modeled,O
overall how many roof are modeled,sentence
how,O
many,O
ramp,B_built_obj
flights,I_built_obj
that,O
exist,O
there,O
?,O
how many ramp flights that exist there ?,sentence
in,O
total,O
tell,O
me,O
how,O
many,O
shading,B_built_obj
elements,I_built_obj
are,O
existing,O
?,O
in total tell me how many shading elements are existing ?,sentence
how,O
many,O
windows,B_built_obj
are,O
modeled,O
how many windows are modeled,sentence
in,O
this,O
model,O
tell,O
me,O
how,O
many,O
structural,B_built_obj
member,I_built_obj
are,O
existing,O
in this model tell me how many structural member are existing,sentence
",",O
overall,O
how,O
many,O
plate,B_built_obj
of,O
this,O
model,O
exist,O
", overall how many plate of this model exist",sentence
",",O
overall,O
how,O
many,O
structural,B_built_obj
member,I_built_obj
elements,O
exist,O
", overall how many structural member elements exist",sentence
tell,O
me,O
how,O
many,O
roofs,B_built_obj
elements,O
of,O
this,O
model,O
exist,O
tell me how many roofs elements of this model exist,sentence
",",O
tell,O
me,O
how,O
many,O
finishing,B_built_obj
of,O
the,O
building,O
are,O
there,O
", tell me how many finishing of the building are there",sentence
how,O
many,O
railing,B_built_obj
of,O
this,O
model,O
are,O
existing,O
?,O
how many railing of this model are existing ?,sentence
in,O
total,O
",",O
how,O
many,O
stairs,B_built_obj
objects,O
of,O
this,O
model,O
exist,O
"in total , how many stairs objects of this model exist",sentence
tell,O
me,O
how,O
many,O
pile,B_built_obj
items,O
exist,O
tell me how many pile items exist,sentence
how,O
many,O
ramp,B_built_obj
flights,I_built_obj
of,O
this,O
model,O
exist,O
how many ramp flights of this model exist,sentence
in,O
total,O
overall,O
how,O
many,O
columns,B_built_obj
is,O
there,O
in total overall how many columns is there,sentence
overall,O
how,O
many,O
shading,B_built_obj
element,I_built_obj
items,O
are,O
available,O
overall how many shading element items are available,sentence
how,O
many,O
stairs,B_built_obj
cases,I_built_obj
instances,O
of,O
the,O
model,O
that,O
exist,O
there,O
how many stairs cases instances of the model that exist there,sentence
in,O
total,O
",",O
how,O
many,O
coverings,B_built_obj
of,O
this,O
model,O
is,O
there,O
"in total , how many coverings of this model is there",sentence
how,O
many,O
member,B_built_obj
of,O
the,O
building,O
are,O
existing,O
how many member of the building are existing,sentence
",",O
how,O
many,O
plates,B_built_obj
exist,O
", how many plates exist",sentence
overall,O
how,O
many,O
curtain,B_built_obj
walls,I_built_obj
elements,O
are,O
there,O
